order   	 script                            	 phase                      	 purpose                                                                                                                                               	 overlap_notes
1       	 scripts/setup-service.sh          	 operator bootstrap         	 Creates runtime directories and provisions Vault/AppRole state through an administrator workflow.                                                     	 Never invoked with a Vault parent token by application deploy CI.
2       	 scripts/deploy-stack-over-ssh.sh  	 CI transport               	 Validates explicit target and image lock, stages reviewed source, and invokes the versioned remote transaction.                                       	 No live-path rsync before staged validation.
3       	 scripts/remote-deploy-release.sh  	 remote deploy              	 Locks per stack, validates exact images, publishes protected source, waits for health, and rolls source back on failure.                              	 Does not run compose down or transport control-plane credentials.
4       	 scripts/verify-approved-images.sh 	 CI/deploy policy           	 Validates approved registry digests and exact rendered Compose image sets.                                                                            	 Never prints env or rendered Compose content.
5       	 scripts/permissions.sh            	 permissions                	 Checks or applies manifest modes after rejecting unsafe paths, symlinks, and type mismatches; check mode also validates nonempty runtime artifacts.   	 Owner/group enforcement remains a planned extension. Check mode is read-only.
5a      	 scripts/refresh-headscale-authkey.sh 	 operator credential refresh 	 Mints one Headscale pre-auth key and writes it directly to the stack Vault record without displaying it.                                                    	 Requires a numeric Headscale user ID and a privileged Vault token file; never place the key in shell output.
6b      	 scripts/validate-structure.sh     	 CI structure/secret hygiene	 Fails on missing required paths, tracked secrets under runtime/secrets|vault-auth|data, non-recursive gitignore, or committed secret-named/.env files.	 CI-safe: reads working tree and git index only, no secrets or privilege.
7       	 scripts/start-vault-agent.sh      	 runtime                    	 Validates AppRole files, renders concrete Vault Agent HCL, and execs Vault Agent.                                                                     	 No general-purpose token sink.
8       	 scripts/start-tailscale-sidecar.sh	 runtime                    	 Starts tailscaled and performs unattended Headscale join when required.                                                                               	 Runtime-only wrapper.
9       	 scripts/retag-headscale-node.sh   	 operator control plane     	 Applies final tags from the Headscale host.                                                                                                           	 Must run only through an administrator-owned workflow.
10      	 tools/push-template-remotes.sh    	 template release           	 Pushes the reviewed template to configured remotes.                                                                                                   	 Does not authorize stack deployment.
optional	 hooks/bootstrap-service-state.sh  	 service bootstrap          	 Optional reviewed application-state hook.                                                                                                             	 Keep disabled until idempotency and rollback tests exist.
